date,category,vaccination,units
13-11-2022,15-18 Age 1st Dose,"6,20,37,117",vaccination in absolute number
13-11-2022,15-18 Age 2nd Dose,"5,34,11,477",vaccination in absolute number
12-11-2022,18+ Age 1st Dose,"92,20,45,635",vaccination in absolute number
12-11-2022,18+ Age 24hr Vaccination,"3,373",vaccination in absolute number
12-11-2022,18+ Age 2nd Dose,"86,46,70,911",vaccination in absolute number
12-11-2022,15-18 Age 1st Dose,"6,20,35,453",vaccination in absolute number
12-11-2022,15-18 Age 2nd Dose,"5,34,06,013",vaccination in absolute number
11-11-2022,18+ Age 1st Dose,"92,20,42,262",vaccination in absolute number
11-11-2022,18+ Age 24hr Vaccination,"3,729",vaccination in absolute number
11-11-2022,18+ Age 2nd Dose,"86,46,54,852",vaccination in absolute number
11-11-2022,15-18 Age 1st Dose,"6,20,33,315",vaccination in absolute number
11-11-2022,15-18 Age 2nd Dose,"5,33,99,278",vaccination in absolute number
10-11-2022,18+ Age 1st Dose,"92,20,38,533",vaccination in absolute number
10-11-2022,18+ Age 24hr Vaccination,"4,278",vaccination in absolute number
10-11-2022,18+ Age 2nd Dose,"86,46,38,287",vaccination in absolute number
10-11-2022,15-18 Age 1st Dose,"6,20,31,353",vaccination in absolute number
10-11-2022,15-18 Age 2nd Dose,"5,33,93,020",vaccination in absolute number
09-11-2022,18+ Age 1st Dose,"92,20,34,255",vaccination in absolute number
09-11-2022,18+ Age 24hr Vaccination,"1,985",vaccination in absolute number
09-11-2022,18+ Age 2nd Dose,"86,46,22,438",vaccination in absolute number
09-11-2022,15-18 Age 1st Dose,"6,20,30,222",vaccination in absolute number
09-11-2022,15-18 Age 2nd Dose,"5,33,87,791",vaccination in absolute number
08-11-2022,18+ Age 1st Dose,"92,20,32,270",vaccination in absolute number
08-11-2022,18+ Age 24hr Vaccination,"3,999",vaccination in absolute number
08-11-2022,18+ Age 2nd Dose,"86,46,12,901",vaccination in absolute number
08-11-2022,15-18 Age 1st Dose,"6,20,29,079",vaccination in absolute number
08-11-2022,15-18 Age 2nd Dose,"5,33,84,424",vaccination in absolute number
07-11-2022,18+ Age 1st Dose,"92,20,28,271",vaccination in absolute number
07-11-2022,18+ Age 24hr Vaccination,661,vaccination in absolute number
07-11-2022,18+ Age 2nd Dose,"86,45,98,977",vaccination in absolute number
